item,score,abs_score
S72,0.4403447711272605,0.4403447711272605
S44,0.28836501526341374,0.28836501526341374
S59,0.279753103689247,0.279753103689247
S41,0.2735572389084794,0.2735572389084794
S51,0.2731262455722932,0.2731262455722932
S37,0.2629502982561845,0.2629502982561845
S6,0.26112634145041863,0.26112634145041863
S90,0.25645198706093875,0.25645198706093875
S47,0.24990534874933804,0.24990534874933804
S5,0.24514888354959063,0.24514888354959063
S10,0.23931693839962764,0.23931693839962764
S17,0.23464146919657644,0.23464146919657644
S40,0.21889754622142296,0.21889754622142296
S24,0.21808156135323076,0.21808156135323076
S28,0.21175113575550117,0.21175113575550117
S67,0.1965885589389398,0.1965885589389398
S34,0.19251476368851245,0.19251476368851245
S63,0.19204040562514718,0.19204040562514718
S54,0.19180477645431993,0.19180477645431993
S48,0.18696713543535837,0.18696713543535837
S42,0.17516155114038112,0.17516155114038112
S88,0.17231782470438609,0.17231782470438609
S45,0.16096122598750073,0.16096122598750073
S64,0.1528069507441431,0.1528069507441431
S77,0.15043700092736528,0.15043700092736528
S12,0.1503887990578175,0.1503887990578175
S76,0.14924570796903225,0.14924570796903225
S13,0.1489932963886394,0.1489932963886394
S16,0.14617159924129947,0.14617159924129947
S65,0.14561752290217603,0.14561752290217603
S87,0.1448977113136048,0.1448977113136048
S80,0.14082987188269167,0.14082987188269167
S7,0.13968165661153578,0.13968165661153578
S57,0.13720848786245876,0.13720848786245876
S89,0.13386256923491066,0.13386256923491066
S33,0.130207549351699,0.130207549351699
S46,0.12872468890173006,0.12872468890173006
S30,0.12319615105080936,0.12319615105080936
S36,0.12169841310346205,0.12169841310346205
S75,0.1210174384448905,0.1210174384448905
S19,0.11610111600597084,0.11610111600597084
S78,0.11434621623183687,0.11434621623183687
S61,0.10282055280463362,0.10282055280463362
S20,0.10266372582149286,0.10266372582149286
S31,0.0985453843184594,0.0985453843184594
S71,0.09059375670905244,0.09059375670905244
S43,0.08621175900370555,0.08621175900370555
S66,0.08224046756203747,0.08224046756203747
S21,0.08111932877745176,0.08111932877745176
S58,0.07814514502195877,0.07814514502195877
S1,0.07771138947768244,0.07771138947768244
S29,0.06706142328430155,0.06706142328430155
S18,0.0668236783891745,0.0668236783891745
S83,0.06518922109963322,0.06518922109963322
S73,0.062413077017112635,0.062413077017112635
S27,0.061405203851243595,0.061405203851243595
S9,0.06111886522213401,0.06111886522213401
S4,0.058858781349526636,0.058858781349526636
S3,0.05252907227560502,0.05252907227560502
S38,0.05207117159194013,0.05207117159194013
S26,0.04941536971717278,0.04941536971717278
S70,0.04708032571126365,0.04708032571126365
S69,0.04485567462559064,0.04485567462559064
S79,0.042318232102161825,0.042318232102161825
S49,0.04174524877233945,0.04174524877233945
S8,0.03532565057720009,0.03532565057720009
S55,0.03483160982795,0.03483160982795
S60,0.03401347892976216,0.03401347892976216
S56,0.03195040562321508,0.03195040562321508
S52,0.022964504092187775,0.022964504092187775
S25,0.014560334261460521,0.014560334261460521
S84,0.010840932209019697,0.010840932209019697
S11,0.008580515126655155,0.008580515126655155
S82,0.004283911404646316,0.004283911404646316
S86,0.0038877743618334444,0.0038877743618334444
S81,0.002776037350793328,0.002776037350793328
S23,0.0,0.0
S15,0.0,0.0
S2,0.0,0.0
S22,0.0,0.0
S14,0.0,0.0
S32,0.0,0.0
S53,0.0,0.0
S50,0.0,0.0
S35,0.0,0.0
S39,0.0,0.0
S74,0.0,0.0
S68,0.0,0.0
S62,0.0,0.0
S85,0.0,0.0
