item,lasso_bootstrap_top10_frequency,lasso_bootstrap_top15_frequency,lasso_bootstrap_top20_frequency,bootstrap_resamples,bootstrap_sample_size
S61,0.363,0.461,0.537,1000,800
S26,0.318,0.432,0.504,1000,800
S78,0.295,0.365,0.451,1000,800
S30,0.276,0.359,0.431,1000,800
S2,0.256,0.334,0.402,1000,800
S56,0.232,0.332,0.411,1000,800
S31,0.232,0.328,0.392,1000,800
S57,0.24,0.327,0.393,1000,800
S28,0.255,0.323,0.395,1000,800
S79,0.221,0.298,0.365,1000,800
S71,0.23,0.293,0.379,1000,800
S68,0.19,0.278,0.365,1000,800
S34,0.187,0.266,0.345,1000,800
S62,0.18,0.266,0.335,1000,800
S70,0.176,0.262,0.349,1000,800
S69,0.178,0.259,0.31,1000,800
S33,0.183,0.259,0.329,1000,800
S85,0.178,0.256,0.337,1000,800
S77,0.179,0.254,0.325,1000,800
S18,0.168,0.246,0.325,1000,800
S51,0.16,0.246,0.338,1000,800
S50,0.161,0.237,0.292,1000,800
S84,0.136,0.225,0.305,1000,800
S66,0.138,0.219,0.302,1000,800
S87,0.144,0.218,0.313,1000,800
S29,0.159,0.217,0.273,1000,800
S72,0.141,0.215,0.267,1000,800
S41,0.147,0.211,0.263,1000,800
S88,0.139,0.207,0.28,1000,800
S43,0.134,0.205,0.287,1000,800
S90,0.134,0.204,0.26,1000,800
S23,0.123,0.196,0.257,1000,800
S44,0.129,0.192,0.277,1000,800
S55,0.124,0.187,0.238,1000,800
S36,0.118,0.187,0.253,1000,800
S22,0.109,0.181,0.255,1000,800
S9,0.108,0.173,0.224,1000,800
S10,0.115,0.172,0.238,1000,800
S65,0.106,0.172,0.263,1000,800
S32,0.113,0.171,0.233,1000,800
S46,0.108,0.171,0.225,1000,800
S58,0.103,0.17,0.234,1000,800
S38,0.101,0.164,0.235,1000,800
S25,0.096,0.162,0.257,1000,800
S6,0.097,0.161,0.212,1000,800
S24,0.107,0.16,0.225,1000,800
S40,0.105,0.159,0.236,1000,800
S83,0.088,0.159,0.214,1000,800
S59,0.106,0.158,0.218,1000,800
S82,0.091,0.155,0.229,1000,800
S76,0.091,0.151,0.212,1000,800
S89,0.093,0.141,0.191,1000,800
S73,0.077,0.134,0.191,1000,800
S67,0.083,0.13,0.186,1000,800
S54,0.076,0.128,0.181,1000,800
S42,0.074,0.127,0.183,1000,800
S63,0.082,0.126,0.161,1000,800
S19,0.064,0.126,0.188,1000,800
S11,0.074,0.124,0.165,1000,800
S47,0.073,0.123,0.173,1000,800
S39,0.063,0.122,0.171,1000,800
S14,0.074,0.119,0.151,1000,800
S21,0.075,0.114,0.159,1000,800
S75,0.055,0.113,0.167,1000,800
S37,0.061,0.105,0.142,1000,800
S7,0.057,0.097,0.145,1000,800
S80,0.059,0.095,0.139,1000,800
S74,0.059,0.095,0.143,1000,800
S8,0.042,0.08,0.113,1000,800
S3,0.051,0.077,0.122,1000,800
S49,0.045,0.069,0.108,1000,800
S52,0.029,0.054,0.075,1000,800
S15,0.027,0.053,0.074,1000,800
S1,0.029,0.052,0.091,1000,800
S48,0.031,0.051,0.075,1000,800
S20,0.031,0.048,0.087,1000,800
S53,0.023,0.046,0.078,1000,800
S5,0.03,0.045,0.08,1000,800
S12,0.023,0.044,0.079,1000,800
S60,0.022,0.043,0.075,1000,800
S17,0.022,0.043,0.061,1000,800
S64,0.017,0.041,0.077,1000,800
S86,0.021,0.038,0.052,1000,800
S45,0.019,0.036,0.062,1000,800
S81,0.016,0.034,0.058,1000,800
S35,0.013,0.032,0.047,1000,800
S27,0.011,0.031,0.053,1000,800
S13,0.012,0.024,0.036,1000,800
S4,0.009,0.02,0.03,1000,800
S16,0.01,0.017,0.036,1000,800
