item,importance
S72,0.4403447711272605
S44,0.2883650152634137
S59,0.279753103689247
S41,0.2735572389084794
S51,0.2731262455722932
S37,0.2629502982561845
S6,0.2611263414504186
S90,0.2564519870609387
S47,0.249905348749338
S5,0.2451488835495906
S10,0.2393169383996276
S17,0.2346414691965764
S40,0.2188975462214229
S24,0.2180815613532307
S28,0.2117511357555011
S67,0.1965885589389398
S34,0.1925147636885124
S63,0.1920404056251471
S54,0.1918047764543199
S48,0.1869671354353583
S42,0.1751615511403811
S88,0.172317824704386
S45,0.1609612259875007
S64,0.1528069507441431
S77,0.1504370009273652
S12,0.1503887990578175
S76,0.1492457079690322
S13,0.1489932963886394
S16,0.1461715992412994
S65,0.145617522902176
S87,0.1448977113136048
S80,0.1408298718826916
S7,0.1396816566115357
S57,0.1372084878624587
S89,0.1338625692349106
S33,0.130207549351699
S46,0.12872468890173
S30,0.1231961510508093
S36,0.121698413103462
S75,0.1210174384448905
S19,0.1161011160059708
S78,0.1143462162318368
S61,0.1028205528046336
S20,0.1026637258214928
S31,0.0985453843184594
S71,0.0905937567090524
S43,0.0862117590037055
S66,0.0822404675620374
S21,0.0811193287774517
S58,0.0781451450219587
S1,0.0777113894776824
S29,0.0670614232843015
S18,0.0668236783891745
S83,0.0651892210996332
S73,0.0624130770171126
S27,0.0614052038512435
S9,0.061118865222134
S4,0.0588587813495266
S3,0.052529072275605
S38,0.0520711715919401
S26,0.0494153697171727
S70,0.0470803257112636
S69,0.0448556746255906
S79,0.0423182321021618
S49,0.0417452487723394
S8,0.0353256505772
S55,0.03483160982795
S60,0.0340134789297621
S56,0.031950405623215
S52,0.0229645040921877
S25,0.0145603342614605
S84,0.0108409322090196
S11,0.0085805151266551
S82,0.0042839114046463
S86,0.0038877743618334
S81,0.0027760373507933
S23,0.0
S15,0.0
S2,0.0
S22,0.0
S14,0.0
S32,0.0
S53,0.0
S50,0.0
S35,0.0
S39,0.0
S74,0.0
S68,0.0
S62,0.0
S85,0.0
