method,fold,selected_items,n,positive_n,prevalence,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv,predicted_positive_rate,threshold,top5_recall,top5_precision,top5_lift,top10_recall,top10_precision,top10_lift,top15_recall,top15_precision,top15_lift,top20_recall,top20_precision,top20_lift,top25_recall,top25_precision,top25_lift,top30_recall,top30_precision,top30_lift
Correlation ranking,1,"S30,S31,S71,S26,S79,S78,S57,S69,S80,S33,S37,S34,S54,S36,S87",2875,582,0.20243478260869566,0.9841891428117548,0.9471902595877403,0.0503369109114558,-1.3310901109770175,0.9177699755686276,0.9226804123711341,0.9345835150457915,0.7816593886462883,0.9794332723948812,0.23895652173913043,0.535388376511527,0.24742268041237114,1.0,4.939862542955327,0.4879725085910653,0.9861111111111112,4.871253340969836,0.7061855670103093,0.9535962877030162,4.710634582725381,0.8625429553264605,0.8730434782608696,4.312714776632302,0.936426116838488,0.7579972183588317,3.7444020666351223,0.9759450171821306,0.6589327146171694,3.255037035265227
Correlation ranking,2,"S30,S31,S71,S26,S79,S57,S78,S69,S80,S62,S54,S33,S37,S34,S56",2874,581,0.20215727209464163,0.9888311579130679,0.9594639435928004,0.04811486621389484,-1.6869035946569624,1.0566650492679035,0.9724612736660929,0.9119058002616659,0.7366362451108214,0.992406264831514,0.26687543493389004,0.42797136332445024,0.24784853700516352,1.0,4.946643717728055,0.49225473321858865,0.9965156794425087,4.92940802533179,0.7125645438898451,0.9605568445475638,4.751532480601891,0.8795180722891566,0.888695652173913,4.396060764798324,0.9569707401032702,0.7743732590529248,3.83054861707075,0.9913941480206541,0.6682134570765661,3.3054138995491407
Correlation ranking,3,"S30,S71,S31,S79,S26,S57,S78,S69,S33,S62,S80,S54,S37,S36,S28",2874,581,0.20215727209464163,0.9820286691592236,0.9434371064436733,0.050356025354613525,-1.1626046180087186,0.8981345095944591,0.9328743545611016,0.9254252071522023,0.7601683029453016,0.981952799629801,0.24808629088378567,0.43715371678082204,0.24784853700516352,1.0,4.946643717728055,0.48881239242685026,0.9895470383275261,4.894936640539259,0.7160068846815835,0.9651972157772621,4.7744867437932035,0.8519793459552496,0.8608695652173913,4.258415026565891,0.9328743545611016,0.754874651810585,3.734095954050983,0.9724612736660929,0.6554524361948956,3.2422896757730286
Correlation ranking,4,"S30,S31,S71,S79,S26,S57,S78,S69,S80,S33,S54,S62,S37,S34,S56",2874,581,0.20215727209464163,0.9851688856228602,0.9477204964072065,0.04817402375885934,-1.2897347039774634,0.8914839335253123,0.9311531841652324,0.9345835150457915,0.7829232995658466,0.9816765918460834,0.24043145441892833,0.5036357324267839,0.24784853700516352,1.0,4.946643717728055,0.48881239242685026,0.9895470383275261,4.894936640539259,0.6987951807228916,0.9419953596287703,4.659715427836637,0.8588640275387264,0.8678260869565217,4.292826461123999,0.9466437177280551,0.766016713091922,3.78921176149085,0.9827882960413081,0.6624129930394431,3.276721070559999
Correlation ranking,5,"S30,S31,S71,S79,S26,S57,S78,S69,S33,S56,S62,S54,S80,S50,S34",2874,583,0.20285316631871955,0.9855448982632465,0.9494572751312336,0.04604275098423748,-1.1950553210048178,0.9717089668969852,0.9519725557461407,0.9223046704495853,0.757162346521146,0.9869219990658571,0.25504523312456506,0.4231942456838299,0.2469982847341338,1.0,4.92967409948542,0.48713550600343053,0.9895470383275261,4.878144405065712,0.6963979416809606,0.9419953596287703,4.643730126197403,0.8662092624356775,0.8782608695652174,4.329539861287196,0.9485420240137221,0.7701949860724234,3.7968102743947596,0.9828473413379074,0.6647331786542924,3.27691793388068
Mutual information ranking,1,"S30,S31,S71,S26,S57,S79,S78,S69,S54,S34,S80,S28,S41,S37,S36",2875,582,0.20243478260869566,0.9830126951441935,0.9419021180898635,0.05306241237645857,-1.3909167698012226,0.9279338676610958,0.9467353951890034,0.9232446576537288,0.7579092159559835,0.9855679702048417,0.2528695652173913,0.476614449670515,0.24742268041237114,1.0,4.939862542955327,0.4879725085910653,0.9861111111111112,4.871253340969836,0.7027491408934707,0.9489559164733179,4.687711786702386,0.8539518900343642,0.8643478260869565,4.269759450171821,0.9398625429553265,0.760778859527121,3.758142991650297,0.9759450171821306,0.6589327146171694,3.255037035265227
Mutual information ranking,2,"S30,S31,S71,S26,S57,S79,S78,S69,S54,S80,S28,S34,S41,S2,S62",2874,581,0.20215727209464163,0.9850318975734725,0.9445423134036044,0.052691059158339784,-1.4950002887189928,0.9408918721567275,0.9655765920826161,0.910161360662887,0.7314211212516297,0.9905078310393926,0.26687543493389004,0.44163439960837053,0.24784853700516352,1.0,4.946643717728055,0.4853700516351119,0.9825783972125436,4.86046525574673,0.6953528399311532,0.9373549883990719,4.636761164645323,0.8623063683304647,0.871304347826087,4.310032178403053,0.9466437177280551,0.766016713091922,3.78921176149085,0.9879518072289156,0.665893271461717,3.2939367679534843
Mutual information ranking,3,"S30,S31,S71,S26,S57,S79,S78,S69,S28,S54,S41,S33,S2,S34,S80",2874,581,0.20215727209464163,0.9804666300864789,0.9356422836131613,0.054153998174321,-1.20799321728365,0.8817839121911493,0.9294320137693631,0.9153946794592237,0.7356948228882834,0.9808411214953271,0.255393180236604,0.42845233985698866,0.24784853700516352,1.0,4.946643717728055,0.4905335628227194,0.9930313588850174,4.9121723329355245,0.693631669535284,0.9350348027842227,4.625284033049666,0.8416523235800344,0.8504347826086956,4.2067978747287285,0.9225473321858864,0.7465181058495822,3.692759098471083,0.9690189328743546,0.6531322505800464,3.2308125441773723
Mutual information ranking,4,"S30,S31,S71,S57,S26,S79,S78,S54,S34,S28,S69,S2,S80,S33,S37",2874,581,0.20215727209464163,0.9847567955455239,0.9446275979994232,0.04906805258425736,-1.3194577663486204,0.9058362289766739,0.9569707401032702,0.9175752289576974,0.7463087248322148,0.9882573978393612,0.2592205984690327,0.39525203835048445,0.24784853700516352,1.0,4.946643717728055,0.4853700516351119,0.9825783972125436,4.86046525574673,0.6970740103270223,0.9396751740139211,4.648238296240979,0.8588640275387264,0.8678260869565217,4.292826461123999,0.955249569707401,0.7729805013927576,3.8236591411407663,0.9810671256454389,0.6612529002320185,3.270982504762171
Mutual information ranking,5,"S31,S30,S71,S57,S26,S79,S78,S69,S54,S28,S34,S41,S33,S2,S62",2874,583,0.20285316631871955,0.984546510208864,0.9444034786430527,0.04834672802345307,-1.2650098110835892,0.9751470223395071,0.9588336192109777,0.9214316892186818,0.7564276048714479,0.9887587822014051,0.25713291579679887,0.4300213389854909,0.2469982847341338,1.0,4.92967409948542,0.48713550600343053,0.9895470383275261,4.878144405065712,0.6912521440823327,0.9350348027842227,4.609416849402841,0.8490566037735849,0.8608695652173913,4.243806398687449,0.9502572898799314,0.7715877437325905,3.8036761157589454,0.9811320754716981,0.6635730858468677,3.271199054414919
