method,fold,selected_items,low_cut_rawsum_le,high_cut_rawsum_ge,development_low_zone_npv,development_high_zone_ppv,development_accepted_error_rate_all,test_n,test_positive_n,test_low_zone_npv,test_high_zone_ppv,test_accepted_error_rate_all,test_accepted_error_rate_accepted,test_escalation_proportion,test_average_item_burden,test_burden_reduction_vs_90,test_false_negative_low_zone_n,test_false_positive_high_zone_n,workflow_note
Correlation ranking,1,"S30,S31,S71,S26,S79,S78,S57,S69,S80,S33,S37,S34,S54,S36,S87",7,17,0.9975091767173571,0.9616858237547893,0.006871955462769659,2875,582,0.9968203497615262,0.9601990049751243,0.0076521739130434785,0.009611183923110528,0.20382608695652174,30.286956521739132,0.6634782608695653,6,16,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Correlation ranking,2,"S30,S31,S71,S26,S79,S57,S78,S69,S80,S62,S54,S33,S37,S34,S56",8,18,0.995229726336932,0.9791965566714491,0.005827607201878751,2874,581,0.9979695431472081,0.973404255319149,0.0048712595685455815,0.005967604433077579,0.1837160751565762,28.778705636743215,0.6802366040361866,4,10,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Correlation ranking,3,"S30,S71,S31,S79,S26,S57,S78,S69,S33,S62,S80,S54,S37,S36,S28",8,18,0.9966971544715447,0.9710144927536232,0.005914586413847091,2874,581,0.9918657854600915,0.9765395894428153,0.008350730688935281,0.010398613518197574,0.19693806541405706,29.77035490605428,0.6692182788216191,16,8,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Correlation ranking,4,"S30,S31,S71,S79,S26,S57,S78,S69,S80,S33,S54,S62,S37,S34,S56",8,17,0.9955913843053281,0.96569250317662,0.007741149865182221,2874,581,0.9964947421131698,0.9518987341772152,0.009046624913013222,0.010869565217391304,0.1677105080027836,27.57828810020877,0.6935745766643471,7,19,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Correlation ranking,5,"S30,S31,S71,S79,S26,S57,S78,S69,S33,S56,S62,S54,S80,S50,S34",8,18,0.9967891086565631,0.9710716633793557,0.00600156562581543,2874,583,0.9959432048681541,0.9663865546218487,0.006958942240779402,0.008587376556462,0.1896311760612387,29.2223382045929,0.6753073532823011,8,12,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Mutual information ranking,1,"S30,S31,S71,S26,S57,S79,S78,S69,S54,S34,S80,S28,S41,S37,S36",9,20,0.9957605344295992,0.9664045746962115,0.006958942240779402,2875,582,0.9948078920041536,0.9742120343839542,0.006608695652173913,0.008351648351648353,0.20869565217391303,30.652173913043477,0.6594202898550725,10,9,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Mutual information ranking,2,"S30,S31,S71,S26,S57,S79,S78,S69,S54,S80,S28,S34,S41,S2,S62",9,21,0.9967148488830486,0.9694713328369322,0.005740627989910411,2874,581,0.9989389920424403,0.958904109589041,0.005915100904662491,0.007555555555555556,0.21711899791231734,31.2839248434238,0.6524008350730688,2,15,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Mutual information ranking,3,"S30,S31,S71,S26,S57,S79,S78,S69,S28,S54,S41,S33,S2,S34,S80",10,21,0.9951066499372647,0.9723674383868559,0.006610420109593807,2874,581,0.9914615770969362,0.9748427672955975,0.008698677800974252,0.010827197921177999,0.19659011830201809,29.744258872651358,0.6695082347483182,17,8,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Mutual information ranking,4,"S30,S31,S71,S57,S26,S79,S78,S54,S34,S28,S69,S2,S80,S33,S37",9,19,0.9959452610238216,0.967741935483871,0.006871357745498826,2874,581,0.9944806823883593,0.961218836565097,0.008698677800974252,0.010620220900594732,0.18093249826026445,28.569937369519835,0.6825562514497796,11,14,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
Mutual information ranking,5,"S31,S30,S71,S57,S26,S79,S78,S69,S54,S28,S34,S41,S33,S2,S62",9,21,0.9965928449744463,0.9731943410275503,0.005392711142037053,2874,583,0.9979220779220779,0.9809523809523809,0.003479471120389701,0.004464285714285714,0.22059846903270702,31.544885177453025,0.6495012758060775,4,6,"Nested CV repeats item ranking, 15-item selection, and low/high raw-sum threshold selection inside each training fold."
