low_cut_rawsum_le,high_cut_rawsum_ge,accepted_proportion,escalation_proportion,low_zone_n,middle_zone_n,high_zone_n,low_zone_npv,high_zone_ppv,accepted_error_n,accepted_error_rate_all,accepted_error_rate_accepted,average_item_burden,burden_reduction_vs_90,constraint_low_npv_min,constraint_high_ppv_min,constraint_accepted_error_max
13,24,0.7844151047918013,0.21558489520819868,7019,2335,1477,0.9962957686280097,0.962762356127285,81,0.007478533838057428,0.009533898305084746,31.168867140614903,0.6536792539931677,0.995,0.96,0.008
13,25,0.7689963992244483,0.23100360077555165,7019,2502,1310,0.9962957686280097,0.9786259541984733,54,0.004985689225371619,0.006483371353103614,32.325270058166375,0.6408303326870403,0.995,0.96,0.008
13,26,0.7577324346782384,0.2422675653217616,7019,2624,1188,0.9962957686280097,0.9865319865319865,42,0.0038777582864001478,0.005117582551480444,33.17006739913212,0.6314436955651986,0.995,0.96,0.008
12,24,0.7541316591265811,0.24586834087341888,6691,2663,1477,0.9979076371244956,0.962762356127285,69,0.006370602899085957,0.008447600391772772,33.44012556550641,0.628443049272151,0.995,0.96,0.008
13,27,0.7455451943495522,0.2544548056504478,7019,2756,1056,0.9962957686280097,0.990530303030303,36,0.0033237928169144123,0.004458204334365325,34.084110423783585,0.6212876619579601,0.995,0.96,0.008
12,25,0.7387129535592282,0.2612870464407719,6691,2830,1310,0.9979076371244956,0.9786259541984733,42,0.0038777582864001478,0.005249343832020997,34.59652848305789,0.6155941279660234,0.995,0.96,0.008
13,28,0.7345582125380852,0.2654417874619149,7019,2875,937,0.9962957686280097,0.9935965848452508,32,0.002954482503923922,0.004022121669180492,34.908134059643615,0.6121318437817376,0.995,0.96,0.008
12,26,0.7274489890130182,0.2725510109869818,6691,2952,1188,0.9979076371244956,0.9865319865319865,30,0.002769827347428677,0.0038075897956593475,35.441325824023636,0.6062074908441818,0.995,0.96,0.008
13,29,0.725787092604561,0.274212907395439,7019,2970,842,0.9962957686280097,0.994061757719715,31,0.0028621549256762995,0.003943518636305814,35.56596805465793,0.6048225771704675,0.995,0.96,0.008
11,24,0.7170159726710369,0.28298402732896316,6289,3065,1477,0.9988869454603275,0.962762356127285,62,0.005724309851352599,0.007983517898532062,36.22380204967224,0.5975133105591973,0.995,0.96,0.008
13,30,0.7164620072015511,0.2835379927984489,7019,3071,741,0.9962957686280097,0.9973009446693657,28,0.002585172190933432,0.0036082474226804126,36.265349459883666,0.5970516726679592,0.995,0.96,0.008
12,27,0.715261748684332,0.284738251315668,6691,3084,1056,0.9979076371244956,0.990530303030303,24,0.0022158618779429414,0.0030979734090615723,36.3553688486751,0.5960514572369433,0.995,0.96,0.008
13,31,0.7058443357030745,0.29415566429692547,7019,3186,626,0.9962957686280097,0.9984025559105432,27,0.0024928446126858093,0.0035317200784826686,37.06167482226941,0.5882036130858954,0.995,0.96,0.008
12,28,0.7042747668728649,0.29572523312713506,6691,3203,937,0.9979076371244956,0.9935965848452508,20,0.0018465515649524512,0.0026219192448872575,37.17939248453513,0.5868956390607208,0.995,0.96,0.008
11,25,0.7015972671036839,0.29840273289631614,6289,3232,1310,0.9988869454603275,0.9786259541984733,35,0.0032314652386667897,0.0046058691933149095,37.38020496722371,0.5846643892530698,0.995,0.96,0.008
13,32,0.6989197673345028,0.30108023266549716,7019,3261,551,0.9962957686280097,0.9981851179673321,27,0.0024928446126858093,0.0035667107001321006,37.58101744991229,0.582433139445419,0.995,0.96,0.008
12,29,0.6955036469393407,0.3044963530606592,6691,3298,842,0.9979076371244956,0.994061757719715,19,0.0017542239867048288,0.0025222354971458916,37.83722647954944,0.5795863724494507,0.995,0.96,0.008
13,33,0.6925491644354168,0.30745083556458314,7019,3330,482,0.9962957686280097,1.0,26,0.0024005170344381867,0.0034662045060658577,38.05881266734374,0.5771243036961807,0.995,0.96,0.008
11,26,0.6903333025574739,0.30966669744252606,6289,3354,1188,0.9988869454603275,0.9865319865319865,23,0.002123534299695319,0.003076100040123044,38.22500230818946,0.5752777521312282,0.995,0.96,0.008
13,34,0.6871941648970548,0.31280583510294524,7019,3388,424,0.9962957686280097,1.0,26,0.0024005170344381867,0.0034932151014375923,38.4604376327209,0.572661804080879,0.995,0.96,0.008
12,30,0.6861785615363309,0.3138214384636691,6691,3399,741,0.9979076371244956,0.9973009446693657,16,0.001477241251961961,0.002152852529601722,38.53660788477518,0.5718154679469425,0.995,0.96,0.008
10,24,0.6821161480934355,0.3178838519065645,5911,3443,1477,0.9993232955506682,0.962762356127285,59,0.0054473271166097315,0.007985923118570656,38.84128889299234,0.5684301234111963,0.995,0.96,0.008
13,35,0.6814698550457021,0.3185301449542978,7019,3450,362,0.9962957686280097,1.0,26,0.0024005170344381867,0.003522557918981168,38.88976087157234,0.5678915458714184,0.995,0.96,0.008
11,27,0.6781460622287877,0.32185393777121224,6289,3486,1056,0.9988869454603275,0.990530303030303,17,0.0015695688302095835,0.002314499659632403,39.13904533284092,0.5651217185239897,0.995,0.96,0.008
13,36,0.6774997691810544,0.32250023081894563,7019,3493,319,0.9962957686280097,1.0,26,0.0024005170344381867,0.0035431997819569366,39.18751731142092,0.564583140984212,0.995,0.96,0.008
12,31,0.6755608900378544,0.3244391099621457,6691,3514,626,0.9979076371244956,0.9984025559105432,15,0.0013849136737143384,0.002050020500205002,39.33293324716092,0.5629674083648786,0.995,0.96,0.008
13,37,0.6727910626904257,0.32720893730957434,7019,3544,268,0.9962957686280097,1.0,26,0.0024005170344381867,0.0035679978043090437,39.540670298218075,0.5606592189086881,0.995,0.96,0.008
13,38,0.6693749422952636,0.3306250577047364,7019,3581,231,0.9962957686280097,1.0,26,0.0024005170344381867,0.003586206896551724,39.79687932785523,0.5578124519127197,0.995,0.96,0.008
12,32,0.6686363216692827,0.3313636783307174,6691,3589,551,0.9979076371244956,0.9981851179673321,15,0.0013849136737143384,0.002071251035625518,39.8522758748038,0.5571969347244022,0.995,0.96,0.008
11,28,0.6671590804173206,0.33284091958267936,6289,3605,937,0.9988869454603275,0.9935965848452508,13,0.0012002585172190933,0.0017990589537780239,39.96306896870095,0.5559659003477672,0.995,0.96,0.008
10,25,0.6666974425260825,0.33330255747391746,5911,3610,1310,0.9993232955506682,0.9786259541984733,32,0.002954482503923922,0.004431519180168952,39.997691810543806,0.5555812021050688,0.995,0.96,0.008
13,39,0.6652202012741206,0.33477979872587943,7019,3626,186,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036086051353226927,40.10848490444096,0.5543501677284338,0.995,0.96,0.008
13,40,0.6627273566614348,0.3372726433385652,7019,3653,159,0.9962957686280097,1.0,26,0.0024005170344381867,0.003622178879910839,40.29544825039239,0.5522727972178624,0.995,0.96,0.008
12,33,0.6622657187701967,0.33773428122980337,6691,3658,482,0.9979076371244956,1.0,14,0.001292586095466716,0.0019517635577861424,40.33007109223525,0.5518880989751639,0.995,0.96,0.008
13,41,0.6604191672052442,0.3395808327947558,7019,3678,134,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036348385292884105,40.46856245960669,0.5503493060043702,0.995,0.96,0.008
13,42,0.6586649432185394,0.34133505678146064,7019,3697,115,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036445192038127277,40.60012925860955,0.5488874526821161,0.995,0.96,0.008
11,29,0.6583879604837966,0.3416120395162035,6289,3700,842,0.9988869454603275,0.994061757719715,12,0.0011079309389714707,0.0016827934371055953,40.62090296371526,0.5486566337364971,0.995,0.96,0.008
13,43,0.6570030468100821,0.34299695318991785,7019,3715,97,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036537380550871277,40.724771489243835,0.5475025390084018,0.995,0.96,0.008
12,34,0.6569107192318345,0.34308928076816547,6691,3716,424,0.9979076371244956,1.0,14,0.001292586095466716,0.0019676739283204497,40.73169605761241,0.5474255993598621,0.995,0.96,0.008
10,26,0.6554334779798726,0.3445665220201274,5911,3732,1188,0.9993232955506682,0.9865319865319865,20,0.0018465515649524512,0.002817298211015636,40.842489151509554,0.5461945649832272,0.995,0.96,0.008
13,44,0.6554334779798726,0.3445665220201274,7019,3732,80,0.9962957686280097,1.0,26,0.0024005170344381867,0.003662487674320327,40.842489151509554,0.5461945649832272,0.995,0.96,0.008
13,45,0.6537715815714153,0.3462284184285846,7019,3750,62,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036717977686767404,40.96713138214385,0.5448096513095128,0.995,0.96,0.008
13,46,0.6523866678977011,0.34761333210229894,7019,3765,47,0.9962957686280097,1.0,26,0.0024005170344381867,0.003679592414378715,41.07099990767242,0.5436555565814175,0.995,0.96,0.008
13,47,0.6513710645369772,0.3486289354630228,7019,3776,36,0.9962957686280097,1.0,26,0.0024005170344381867,0.00368532955350815,41.14717015972671,0.5428092204474809,0.995,0.96,0.008
12,35,0.651186409380482,0.34881359061951805,6691,3778,362,0.9979076371244956,1.0,14,0.001292586095466716,0.0019849709343541756,41.161019296463856,0.5426553411504016,0.995,0.96,0.008
13,48,0.650909426645739,0.3490905733542609,7019,3781,31,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036879432624113474,41.18179300156957,0.5424245222047825,0.995,0.96,0.008
13,49,0.6504477887545009,0.349552211245499,7019,3786,26,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036905606813342796,41.21641584341243,0.5420398239620842,0.995,0.96,0.008
13,50,0.6500784784415105,0.34992152155848955,7019,3790,22,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036926572929981537,41.24411411688671,0.5417320653679254,0.995,0.96,0.008
13,51,0.6498938232850152,0.3501061767149848,7019,3792,20,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036937064923994885,41.257963253623856,0.5415781860708461,0.995,0.96,0.008
13,52,0.6494321853937771,0.3505678146062229,7019,3797,15,0.9962957686280097,1.0,26,0.0024005170344381867,0.003696332101222633,41.29258609546672,0.5411934878281476,0.995,0.96,0.008
13,53,0.6491552026590343,0.35084479734096574,7019,3800,12,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036979092589958756,41.31335980057243,0.5409626688825285,0.995,0.96,0.008
11,30,0.6490628750807866,0.35093712491921336,6289,3801,741,0.9988869454603275,0.9973009446693657,9,0.0008309482042286031,0.0012802275960170698,41.320284368941,0.5408857292339888,0.995,0.96,0.008
13,54,0.6490628750807866,0.35093712491921336,7019,3801,11,0.9962957686280097,1.0,26,0.0024005170344381867,0.003698435277382646,41.320284368941,0.5408857292339888,0.995,0.96,0.008
13,55,0.648970547502539,0.351029452497461,7019,3802,10,0.9962957686280097,1.0,26,0.0024005170344381867,0.0036989614454403185,41.32720893730957,0.5408087895854492,0.995,0.96,0.008
13,56,0.6488782199242914,0.3511217800757086,7019,3803,9,0.9962957686280097,1.0,26,0.0024005170344381867,0.003699487763232783,41.334133505678146,0.5407318499369095,0.995,0.96,0.008
13,57,0.6486012371895485,0.35139876281045146,7019,3806,6,0.9962957686280097,1.0,26,0.0024005170344381867,0.003701067615658363,41.354907210783864,0.5405010309912904,0.995,0.96,0.008
13,58,0.6484165820330533,0.35158341796694675,7019,3808,4,0.9962957686280097,1.0,26,0.0024005170344381867,0.0037021216004556458,41.36875634752101,0.540347151694211,0.995,0.96,0.008
13,59,0.6483242544548057,0.3516757455451944,7019,3809,3,0.9962957686280097,1.0,26,0.0024005170344381867,0.00370264881800057,41.375680915889575,0.5402702120456714,0.995,0.96,0.008
13,60,0.6483242544548057,0.3516757455451944,7019,3809,3,0.9962957686280097,1.0,26,0.0024005170344381867,0.00370264881800057,41.375680915889575,0.5402702120456714,0.995,0.96,0.008
12,36,0.6472163235158341,0.3527836764841658,6691,3821,319,0.9979076371244956,1.0,14,0.001292586095466716,0.0019971469329529245,41.45877573631244,0.5393469362631951,0.995,0.96,0.008
9,24,0.6444464961684055,0.3555535038315945,5503,3851,1477,0.9994548428130111,0.962762356127285,58,0.005354999538362108,0.00830945558739255,41.666512787369584,0.5370387468070046,0.995,0.96,0.008
10,27,0.6432462376511864,0.35675376234881356,5911,3864,1056,0.9993232955506682,0.990530303030303,14,0.001292586095466716,0.0020094732309458877,41.756532176161016,0.5360385313759887,0.995,0.96,0.008
12,37,0.6425076170252054,0.3574923829747946,6691,3872,268,0.9979076371244956,1.0,14,0.001292586095466716,0.0020117833021985917,41.811928723109595,0.5354230141876711,0.995,0.96,0.008
12,38,0.6390914966300434,0.3609085033699566,6691,3909,231,0.9979076371244956,1.0,14,0.001292586095466716,0.0020225368390638545,42.06813775274674,0.5325762471917028,0.995,0.96,0.008
11,31,0.63844520358231,0.36155479641768995,6289,3916,626,0.9988869454603275,0.9984025559105432,8,0.0007386206259809805,0.0011569052783803326,42.11660973132675,0.532037669651925,0.995,0.96,0.008
12,39,0.6349367556089004,0.3650632443910996,6691,3954,186,0.9979076371244956,1.0,14,0.001292586095466716,0.0020357714119528863,42.37974332933247,0.529113963007417,0.995,0.96,0.008
12,40,0.6324439109962146,0.36755608900378545,6691,3981,159,0.9979076371244956,1.0,14,0.001292586095466716,0.0020437956204379564,42.56670667528391,0.5270365924968454,0.995,0.96,0.008
10,28,0.6322592558397193,0.3677407441602807,5911,3983,937,0.9993232955506682,0.9935965848452508,10,0.0009232757824762256,0.0014602803738317756,42.58055581202105,0.5268827131997661,0.995,0.96,0.008
11,32,0.6315206352137384,0.36847936478626164,6289,3991,551,0.9988869454603275,0.9981851179673321,8,0.0007386206259809805,0.0011695906432748538,42.635952358969625,0.5262671960114486,0.995,0.96,0.008
12,41,0.630135721540024,0.369864278459976,6691,4006,134,0.9979076371244956,1.0,14,0.001292586095466716,0.0020512820512820513,42.7398208844982,0.5251131012833533,0.995,0.96,0.008
9,25,0.6290277906010525,0.3709722093989475,5503,4018,1310,0.9994548428130111,0.9786259541984733,31,0.0028621549256762995,0.004550124761485396,42.82291570492106,0.5241898255008771,0.995,0.96,0.008
12,42,0.6283814975533192,0.3716185024466808,6691,4025,115,0.9979076371244956,1.0,14,0.001292586095466716,0.002057008521892448,42.87138768350106,0.5236512479610993,0.995,0.96,0.008
12,43,0.6267196011448619,0.37328039885513803,6691,4043,97,0.9979076371244956,1.0,14,0.001292586095466716,0.0020624631703005302,42.99602991413535,0.522266334287385,0.995,0.96,0.008
11,33,0.6251500323146524,0.3748499676853476,6289,4060,482,0.9988869454603275,1.0,7,0.000646293047733358,0.0010338207059518536,43.113747576401074,0.5209583602622103,0.995,0.96,0.008
12,44,0.6251500323146524,0.3748499676853476,6691,4060,80,0.9979076371244956,1.0,14,0.001292586095466716,0.002067641411903707,43.113747576401074,0.5209583602622103,0.995,0.96,0.008
10,29,0.6234881359061952,0.3765118640938048,5911,4078,842,0.9993232955506682,0.994061757719715,9,0.0008309482042286031,0.0013327410039982231,43.23838980703536,0.519573446588496,0.995,0.96,0.008
12,45,0.6234881359061952,0.3765118640938048,6691,4078,62,0.9979076371244956,1.0,14,0.001292586095466716,0.002073152672886125,43.23838980703536,0.519573446588496,0.995,0.96,0.008
12,46,0.6221032222324808,0.3778967777675192,6691,4093,47,0.9979076371244956,1.0,14,0.001292586095466716,0.0020777678836449986,43.34225833256394,0.5184193518604007,0.995,0.96,0.008
12,47,0.621087618871757,0.378912381128243,6691,4104,36,0.9979076371244956,1.0,14,0.001292586095466716,0.002081165452653486,43.418428584618226,0.5175730157264642,0.995,0.96,0.008
12,48,0.6206259809805189,0.37937401901948115,6691,4109,31,0.9979076371244956,1.0,14,0.001292586095466716,0.0020827134781315083,43.45305142646109,0.5171883174837657,0.995,0.96,0.008
12,49,0.6201643430892808,0.37983565691071924,6691,4114,26,0.9979076371244956,1.0,14,0.001292586095466716,0.00208426380824773,43.48767426830394,0.5168036192410673,0.995,0.96,0.008
11,34,0.6197950327762903,0.3802049672237097,6289,4118,424,0.9988869454603275,1.0,7,0.000646293047733358,0.0010427528675703858,43.51537254177823,0.5164958606469086,0.995,0.96,0.008
12,50,0.6197950327762903,0.3802049672237097,6691,4118,22,0.9979076371244956,1.0,14,0.001292586095466716,0.0020855057351407717,43.51537254177823,0.5164958606469086,0.995,0.96,0.008
12,51,0.619610377619795,0.38038962238020496,6691,4120,20,0.9979076371244956,1.0,14,0.001292586095466716,0.0020861272537624795,43.52922167851537,0.5163419813498292,0.995,0.96,0.008
12,52,0.6191487397285569,0.38085126027144306,6691,4125,15,0.9979076371244956,1.0,14,0.001292586095466716,0.0020876826722338203,43.56384452035823,0.5159572831071307,0.995,0.96,0.008
12,53,0.618871756993814,0.381128243006186,6691,4128,12,0.9979076371244956,1.0,14,0.001292586095466716,0.002088617037147546,43.58461822546395,0.5157264641615117,0.995,0.96,0.008
12,54,0.6187794294155664,0.3812205705844336,6691,4129,11,0.9979076371244956,1.0,14,0.001292586095466716,0.0020889286780065653,43.59154279383252,0.5156495245129721,0.995,0.96,0.008
12,55,0.6186871018373188,0.3813128981626812,6691,4130,10,0.9979076371244956,1.0,14,0.001292586095466716,0.002089240411878824,43.59846736220109,0.5155725848644324,0.995,0.96,0.008
12,56,0.6185947742590712,0.38140522574092883,6691,4131,9,0.9979076371244956,1.0,14,0.001292586095466716,0.00208955223880597,43.60539193056966,0.5154956452158926,0.995,0.96,0.008
12,57,0.6183177915243283,0.3816822084756717,6691,4134,6,0.9979076371244956,1.0,14,0.001292586095466716,0.002090488278333582,43.62616563567538,0.5152648262702736,0.995,0.96,0.008
12,58,0.6181331363678331,0.38186686363216693,6691,4136,4,0.9979076371244956,1.0,14,0.001292586095466716,0.0020911127707244214,43.64001477241252,0.5151109469731943,0.995,0.96,0.008
12,59,0.6180408087895854,0.38195919121041455,6691,4137,3,0.9979076371244956,1.0,14,0.001292586095466716,0.002091425156856887,43.64693934078109,0.5150340073246545,0.995,0.96,0.008
12,60,0.6180408087895854,0.38195919121041455,6691,4137,3,0.9979076371244956,1.0,14,0.001292586095466716,0.002091425156856887,43.64693934078109,0.5150340073246545,0.995,0.96,0.008
9,26,0.6177638260548426,0.3822361739451574,5503,4140,1188,0.9994548428130111,0.9865319865319865,19,0.0017542239867048288,0.0028396353310416976,43.667713045886806,0.5148031883790355,0.995,0.96,0.008
10,30,0.6141630505031853,0.3858369494968147,5911,4179,741,0.9993232955506682,0.9973009446693657,6,0.0005539654694857353,0.0009019843656043296,43.937771212261104,0.5118025420859877,0.995,0.96,0.008
11,35,0.6140707229249377,0.3859292770750623,6289,4180,362,0.9988869454603275,1.0,7,0.000646293047733358,0.0010524733122838671,43.94469578062967,0.5117256024374481,0.995,0.96,0.008
11,36,0.6101006370602899,0.3898993629397101,6289,4223,319,0.9988869454603275,1.0,7,0.000646293047733358,0.001059322033898305,44.242452220478256,0.5084171975502416,0.995,0.96,0.008
9,27,0.6055765857261564,0.3944234142738436,5503,4272,1056,0.9994548428130111,0.990530303030303,13,0.0012002585172190933,0.0019820094526604667,44.58175607053827,0.504647154771797,0.995,0.96,0.008
11,37,0.6053919305696611,0.3946080694303388,6289,4274,268,0.9988869454603275,1.0,7,0.000646293047733358,0.001067561384779625,44.59560520727541,0.5044932754747177,0.995,0.96,0.008
8,24,0.6044686547871849,0.3955313452128151,5070,4284,1477,0.9996055226824457,0.962762356127285,57,0.005262671960114486,0.00870627768443562,44.66485089096113,0.5037238789893208,0.995,0.96,0.008
10,31,0.6035453790047087,0.3964546209952913,5911,4294,626,0.9993232955506682,0.9984025559105432,5,0.0004616378912381128,0.0007648768548263729,44.73409657464685,0.5029544825039239,0.995,0.96,0.008
11,38,0.6019758101744991,0.39802418982550086,6289,4311,231,0.9988869454603275,1.0,7,0.000646293047733358,0.0010736196319018406,44.85181423691257,0.5016465084787493,0.995,0.96,0.008
11,39,0.5978210691533561,0.4021789308466439,6289,4356,186,0.9988869454603275,1.0,7,0.000646293047733358,0.001081081081081081,45.163419813498294,0.4981842242944634,0.995,0.96,0.008
10,32,0.596620810636137,0.40337918936386297,5911,4369,551,0.9993232955506682,0.9981851179673321,5,0.0004616378912381128,0.0007737542556484061,45.25343920228973,0.4971840088634475,0.995,0.96,0.008
11,40,0.5953282245406702,0.4046717754593297,6289,4383,159,0.9988869454603275,1.0,7,0.000646293047733358,0.0010856079404466502,45.35038315944973,0.4961068537838919,0.995,0.96,0.008
9,28,0.5945896039146893,0.4054103960853107,5503,4391,937,0.9994548428130111,0.9935965848452508,9,0.0008309482042286031,0.0013975155279503106,45.4057797063983,0.4954913365955745,0.995,0.96,0.008
11,41,0.5930200350844798,0.40697996491552024,6289,4408,134,0.9988869454603275,1.0,7,0.000646293047733358,0.001089833411178577,45.52349736866402,0.4941833625703998,0.995,0.96,0.008
11,42,0.5912658110977749,0.40873418890222507,6289,4427,115,0.9988869454603275,1.0,7,0.000646293047733358,0.0010930668332292317,45.65506416766688,0.4927215092481458,0.995,0.96,0.008
10,33,0.5902502077370511,0.40974979226294894,5911,4438,482,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006256843422493353,45.73123441972117,0.49187517311420925,0.995,0.96,0.008
11,43,0.5896039146893177,0.4103960853106823,6289,4445,97,0.9988869454603275,1.0,7,0.000646293047733358,0.001096147823363608,45.77970639830117,0.49133659557443143,0.995,0.96,0.008
8,25,0.589049949219832,0.41095005078016805,5070,4451,1310,0.9996055226824457,0.9786259541984733,30,0.002769827347428677,0.004702194357366771,45.8212538085126,0.49087495768319334,0.995,0.96,0.008
11,44,0.5880343458591081,0.41196565414089187,6289,4462,80,0.9988869454603275,1.0,7,0.000646293047733358,0.0010990736379337415,45.89742406056689,0.49002862154925675,0.995,0.96,0.008
11,45,0.5863724494506509,0.4136275505493491,6289,4480,62,0.9988869454603275,1.0,7,0.000646293047733358,0.0011021886317115414,46.022066291201185,0.4886437078755424,0.995,0.96,0.008
9,29,0.5858184839811652,0.41418151601883485,5503,4486,842,0.9994548428130111,0.994061757719715,8,0.0007386206259809805,0.001260835303388495,46.06361370141261,0.4881820699843043,0.995,0.96,0.008
11,46,0.5849875357769365,0.4150124642230634,6289,4495,47,0.9988869454603275,1.0,7,0.000646293047733358,0.0011047979797979798,46.12593481672976,0.4874896131474471,0.995,0.96,0.008
10,34,0.5848952081986889,0.41510479180131105,5911,4496,424,0.9993232955506682,1.0,4,0.00036931031299049027,0.0006314127861089187,46.13285938509833,0.4874126734989075,0.995,0.96,0.008
